,Last Scraped,Host Since,Neighbourhood Cleansed,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Price,Availability 30,Availability 365,Number of Reviews,Cancellation Policy
1903,17289,16122.0,111.21588188347965,161.80746023038947,99.29565108409575,2,1.0,1.0,2.0,168.00175681431006,87.0,14,348,2,181.94894537587885
1904,17289,16980.0,111.21588188347965,161.80746023038947,220.18429813205105,5,1.0,2.0,2.0,168.00175681431006,100.0,0,0,0,151.50980726590484
1905,17289,16548.0,111.21588188347965,228.87719298245614,220.18429813205105,2,1.0,0.0,1.0,107.34210526315789,100.0,3,132,10,151.50980726590484
1906,17289,16271.0,111.21588188347965,161.80746023038947,99.29565108409575,2,1.0,1.0,1.0,168.00175681431006,39.0,3,32,15,181.94894537587885
1907,17289,16555.0,149.325,161.80746023038947,99.29565108409575,1,1.0,1.0,1.0,168.00175681431006,100.0,29,179,0,151.50980726590484
1908,17290,16420.0,149.325,161.80746023038947,220.18429813205105,3,1.0,1.0,2.0,168.00175681431006,175.0,0,0,0,151.50980726590484
1909,17289,16998.0,69.0,161.80746023038947,220.18429813205105,2,1.0,0.0,1.0,168.00175681431006,85.0,0,0,4,151.50980726590484
1910,17291,16450.0,69.0,161.80746023038947,99.29565108409575,1,1.0,1.0,1.0,168.00175681431006,89.0,30,365,0,181.94894537587885
1911,17289,16246.0,289.4149659863946,281.42913385826773,99.29565108409575,3,1.0,1.0,2.0,168.00175681431006,109.0,3,322,95,181.94894537587885
1912,17289,16684.0,289.4149659863946,161.80746023038947,220.18429813205105,2,1.0,0.0,1.0,168.00175681431006,250.0,2,336,1,151.50980726590484
1913,17291,16679.0,289.4149659863946,161.80746023038947,99.29565108409575,2,1.0,1.0,1.0,168.00175681431006,100.0,6,46,6,181.94894537587885
1914,17291,15988.0,289.4149659863946,161.80746023038947,220.18429813205105,2,1.0,0.0,1.0,168.00175681431006,184.0,11,330,14,151.50980726590484
1915,17290,17241.0,289.4149659863946,161.80746023038947,220.18429813205105,12,2.0,6.0,8.0,168.00175681431006,600.0,7,320,0,151.50980726590484
1916,17290,15620.0,122.6,161.80746023038947,220.18429813205105,2,1.0,1.0,1.0,168.00175681431006,150.0,0,0,2,181.94894537587885
1917,17291,16060.0,162.0451866404715,161.80746023038947,99.29565108409575,1,1.0,1.0,1.0,168.00175681431006,50.0,1,279,1,151.96605805243445
1918,17290,16634.0,162.0451866404715,161.80746023038947,220.18429813205105,2,1.0,0.0,1.0,168.00175681431006,150.0,0,0,0,151.50980726590484
1919,17290,15309.0,162.0451866404715,161.80746023038947,220.18429813205105,2,1.0,1.0,1.0,168.00175681431006,145.0,2,297,69,181.94894537587885
1920,17288,16149.0,162.0451866404715,161.80746023038947,99.29565108409575,2,1.0,1.0,1.0,168.00175681431006,110.0,0,0,3,151.96605805243445
1921,17288,16108.0,162.0451866404715,161.80746023038947,99.29565108409575,1,1.0,1.0,1.0,168.00175681431006,55.0,1,1,4,151.96605805243445
1922,17288,16473.0,162.0451866404715,161.80746023038947,220.18429813205105,2,1.0,1.0,1.0,168.00175681431006,135.0,3,77,20,151.96605805243445
1923,17291,16770.0,162.0451866404715,161.80746023038947,220.18429813205105,7,2.0,2.0,4.0,168.00175681431006,249.0,5,218,55,181.94894537587885
1924,17290,16385.0,162.0451866404715,161.80746023038947,220.18429813205105,3,1.0,1.0,2.0,168.00175681431006,159.0,0,5,10,151.50980726590484
1925,17290,16060.0,162.0451866404715,183.74257425742573,220.18429813205105,2,1.0,0.0,1.0,168.00175681431006,200.0,1,165,34,181.94894537587885
